"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Miguel Rojas","MIA","140","507","6","34","36","9","5.1%","12.0%",".087",".258",".236",".283",".323",".268",".293","73","-4.0","-19.9","14.3","1.2","7802"
"Alex Verdugo","BOS","152","644","11","75","74","1","6.5%","13.4%",".125",".309",".280",".328",".405",".319",".329","103","-1.1","0.8","-10.2","1.2","17027"
"Lane Thomas","WSN","146","548","17","62","52","8","7.5%","24.1%",".163",".291",".241",".301",".404",".308",".286","96","-0.6","-3.0","-4.9","1.1","16939"
"Adam Frazier","SEA","156","602","3","61","42","11","7.6%","12.1%",".072",".268",".238",".301",".311",".274",".297","81","-0.2","-13.1","4.4","1.1","15223"
"Patrick Wisdom","CHC","134","534","25","67","66","8","9.9%","34.3%",".220",".274",".207",".298",".426",".316",".295","104","0.6","3.0","-10.8","1.1","13602"
"Carlos Santana","- - -","131","506","19","52","60","0","14.0%","17.4%",".174",".209",".202",".316",".376",".308",".352","102","1.0","2.0","-8.3","1.0","2396"
"J.D. Martinez","BOS","139","596","16","76","62","0","8.7%","24.3%",".174",".345",".274",".341",".448",".343",".349","119","-7.3","5.8","-15.0","1.0","6184"
"Trey Mancini","- - -","143","587","18","56","63","0","9.0%","23.0%",".152",".286",".239",".319",".391",".312",".327","104","-3.0","-0.5","-10.1","0.9","15149"
"Rowdy Tellez","MIL","153","599","35","67","89","2","10.4%","20.2%",".242",".215",".219",".306",".461",".327",".349","110","-6.6","0.7","-12.9","0.8","15679"
"Tommy Pham","- - -","144","622","17","89","63","8","9.0%","26.8%",".137",".304",".236",".312",".374",".304",".311","89","1.9","-5.7","-8.9","0.6","2967"
"A.J. Pollock","CHW","138","527","14","61","56","3","6.1%","18.6%",".143",".278",".245",".292",".389",".297",".317","92","-1.5","-6.0","-5.6","0.5","9256"
"Cesar Hernandez","WSN","147","617","1","64","34","10","7.3%","18.5%",".070",".309",".248",".311",".318",".283",".290","79","-0.8","-15.9","-0.6","0.5","10556"
"Jesse Winker","SEA","136","547","14","51","53","0","15.4%","18.8%",".125",".251",".219",".344",".344",".313",".345","108","-4.3","1.0","-14.7","0.4","13590"
"Andrew McCutchen","MIL","134","580","17","66","69","8","9.8%","21.4%",".148",".278",".237",".316",".384",".309",".325","98","-4.1","-5.3","-11.3","0.3","9847"
"Luke Voit","- - -","135","568","22","55","69","1","9.7%","31.5%",".176",".298",".226",".308",".402",".311",".322","102","-6.2","-5.0","-12.4","0.2","14811"
"Charlie Blackmon","COL","135","577","16","60","78","4","5.5%","18.9%",".155",".304",".264",".314",".419",".317",".301","89","1.4","-5.9","-12.3","0.1","7859"
"MJ Melendez","KCR","129","534","18","57","62","2","12.4%","24.5%",".176",".258",".217",".313",".393",".310",".332","99","-0.3","-1.1","-17.5","-0.2","22197"
"Randal Grichuk","COL","141","538","19","60","73","4","4.5%","23.6%",".166",".309",".259",".299",".425",".315",".281","88","-1.2","-9.0","-11.1","-0.2","10243"
"Jesus Aguilar","- - -","129","507","16","39","51","1","5.5%","23.5%",".144",".278",".235",".281",".379",".288",".298","86","-2.8","-10.7","-9.8","-0.4","11342"
"Andrew Vaughn","CHW","134","555","17","60","76","0","5.6%","17.3%",".159",".301",".271",".321",".429",".327",".319","113","-3.2","4.9","-26.7","-0.4","26197"
"Marcell Ozuna","ATL","124","507","23","56","56","2","6.1%","24.1%",".187",".252",".226",".274",".413",".298",".337","88","-2.6","-9.4","-13.0","-0.6","10324"
"Nick Castellanos","PHI","136","558","13","56","62","7","5.2%","23.3%",".126",".326",".263",".305",".389",".304",".302","94","-2.8","-6.8","-19.0","-0.7","11737"
"Nelson Cruz","WSN","124","507","10","50","64","4","9.7%","23.5%",".103",".295",".234",".313",".337",".292",".320","85","-3.1","-11.9","-13.3","-0.8","2434"
"Yuli Gurriel","HOU","146","584","8","53","53","8","5.1%","12.5%",".117",".266",".242",".288",".360",".285",".271","85","-0.8","-11.0","-16.3","-0.9","19198"
